Team ▾,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Wins,Winning %,Playoff Appearance
49ers,"$38,197,259","$8,311,842","$18,448,916","$3,643,398","$33,769,652","$102,371,067","$10,033,146","$16,528,345","$8,852,841","$3,207,934","$18,947,503","$57,569,769",4,0.25,No
Bears,"$10,598,281","$2,865,819","$26,134,139","$16,862,132","$25,838,059","$82,298,430","$16,269,909","$26,108,093","$12,062,109","$4,184,476","$18,514,959","$77,139,546",12,0.75,Yes
Bengals,"$17,198,153","$6,168,245","$22,333,466","$9,109,741","$26,761,854","$81,571,459","$17,980,043","$21,586,114","$18,408,108","$6,721,891","$22,735,864","$87,432,020",6,0.38,No
Bills,"$4,972,932","$12,700,103","$3,135,006","$10,226,000","$13,535,618","$44,569,659","$13,874,163","$18,752,548","$8,735,891","$12,472,941","$7,366,816","$61,202,359",6,0.38,No
Broncos,"$15,706,000","$1,963,621","$14,510,892","$2,980,830","$27,685,340","$62,846,683","$19,610,747","$22,060,696","$13,626,497","$8,651,558","$23,101,585","$87,051,083",6,0.38,No
Browns,"$24,442,360","$5,651,728","$19,436,865","$7,333,699","$34,889,282","$91,753,934","$2,692,766","$13,837,156","$21,595,019","$5,640,141","$18,933,305","$62,698,387",7,0.44,No
Buccaneers,"$12,616,903","$3,981,361","$34,124,743","$10,224,401","$25,173,502","$86,120,910","$30,935,514","$21,624,467","$14,813,639","$6,026,118","$15,212,917","$88,612,655",5,0.31,No
Cardinals,"$5,229,993","$6,642,019","$21,383,544","$8,338,914","$16,580,007","$58,174,477","$6,574,896","$22,609,536","$12,827,408","$8,859,951","$16,131,635","$67,003,426",3,0.19,No
Chargers,"$23,129,200","$4,755,413","$25,433,190","$7,068,484","$27,984,393","$88,370,680","$14,590,006","$22,744,570","$6,339,835","$10,693,090","$17,921,985","$72,289,486",12,0.75,Yes
Chiefs,"$6,462,373","$3,839,568","$13,410,657","$12,846,159","$35,054,355","$71,613,112","$13,806,414","$30,874,001","$6,439,413","$20,988,021","$5,449,388","$77,557,237",12,0.75,Yes
Colts,"$25,722,676","$2,083,712","$20,549,797","$13,375,573","$25,098,865","$86,830,623","$11,406,297","$12,518,570","$3,849,218","$6,461,829","$5,307,934","$39,543,848",10,0.63,Yes
Commanders,"$22,370,588","$6,464,791","$11,550,945","$16,639,653","$35,598,047","$92,624,024","$11,918,322","$17,481,245","$6,801,489","$5,638,443","$21,140,054","$62,979,553",7,0.44,No
Cowboys,"$1,816,903","$7,705,768","$17,811,897","$2,372,304","$43,159,686","$72,866,558","$5,600,665","$30,183,328","$18,325,353","$4,718,347","$5,642,991","$64,470,684",10,0.63,Yes
Dolphins,"$10,507,195","$4,122,610","$25,766,603","$4,425,226","$30,559,407","$75,381,041","$5,156,706","$38,276,611","$14,286,351","$13,320,269","$3,678,898","$74,718,835",7,0.44,No
Eagles,"$21,505,365","$5,143,228","$16,761,079","$7,215,415","$35,461,396","$86,086,483","$19,610,353","$20,521,371","$7,463,300","$16,905,015","$5,420,767","$69,920,806",9,0.56,Yes
Falcons,"$22,329,200","$7,325,063","$24,432,270","$2,433,131","$40,262,172","$96,781,836","$6,021,602","$11,943,939","$8,581,239","$9,445,802","$26,512,595","$62,505,177",7,0.44,No
Giants,"$23,411,925","$11,329,128","$12,265,128","$7,070,209","$16,351,639","$70,428,029","$6,466,608","$23,401,317","$7,366,336","$5,267,371","$13,155,011","$55,656,643",5,0.31,No
Jaguars,"$10,786,333","$12,425,774","$17,287,457","$4,822,038","$28,024,882","$73,346,484","$49,441,021","$1,915,141","$11,985,485","$11,226,426","$27,090,280","$101,658,353",5,0.31,No
Jets,"$15,760,757","$8,070,717","$13,044,099","$3,861,826","$36,847,212","$77,584,611","$16,336,478","$5,967,157","$11,918,348","$10,941,303","$27,956,260","$73,119,546",4,0.25,No
Lions,"$27,560,000","$7,708,425","$10,261,176","$4,771,517","$26,454,707","$76,755,825","$6,088,251","$19,866,349","$13,152,062","$13,868,343","$12,942,767","$65,917,772",6,0.38,No
Packers,"$22,071,928","$1,581,868","$26,709,607","$10,835,666","$33,058,976","$94,258,045","$19,391,088","$23,692,894","$4,603,006","$2,949,361","$10,277,116","$60,913,465",6,0.38,No
Panthers,"$22,245,471","$6,826,065","$12,594,544","$9,312,292","$32,444,025","$83,422,397","$25,938,492","$15,594,755","$18,109,544","$8,525,314","$10,046,763","$78,214,868",7,0.44,No
Patriots,"$23,044,200","$7,894,058","$15,575,488","$16,740,476","$20,349,864","$83,604,086","$8,841,997","$12,784,037","$12,418,619","$22,783,881","$15,107,401","$71,935,935",11,0.69,Yes
Raiders,"$25,915,200","$7,694,424","$18,652,510","$11,533,431","$36,376,204","$100,171,769","$11,861,506","$2,352,299","$10,206,380","$11,068,824","$11,492,532","$46,981,541",4,0.25,No
Rams,"$8,767,592","$9,038,320","$14,151,679","$2,758,153","$27,763,882","$62,479,626","$39,110,096","$5,284,312","$10,912,796","$13,578,223","$20,726,753","$89,612,180",13,0.81,Yes
Ravens,"$27,572,118","$3,363,334","$12,886,087","$4,763,673","$21,740,115","$70,325,327","$9,730,013","$11,748,483","$10,994,045","$16,441,962","$26,734,432","$75,648,935",10,0.63,Yes
Saints,"$26,852,600","$7,093,841","$12,859,196","$7,775,068","$35,725,330","$90,306,035","$7,215,630","$20,379,299","$14,765,854","$7,798,629","$8,475,586","$58,634,998",13,0.81,Yes
Seahawks,"$24,620,964","$4,655,724","$20,229,810","$3,273,982","$23,349,614","$76,130,094","$5,451,644","$5,314,490","$26,759,580","$26,285,750","$7,339,007","$71,150,471",10,0.63,Yes
