Team ▾,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Wins,Winning %,Playoff Appearance
49ers,"$8,281,753","$5,395,448","$18,223,006","$13,286,186","$25,578,471","$70,764,864","$27,294,506","$17,077,536","$21,114,415","$7,048,837","$12,092,568","$84,627,862",12,0.71,Yes
Bears,"$6,584,118","$5,775,142","$28,376,015","$12,444,823","$36,921,463","$90,101,561","$19,921,124","$19,015,804","$22,636,516","$20,729,667","$9,557,863","$91,860,974",7,0.41,No
Bengals,"$20,662,376","$11,546,595","$26,330,982","$4,404,722","$45,572,952","$108,517,627","$30,709,462","$30,195,051","$13,247,332","$6,969,434","$19,193,449","$100,314,728",9,0.53,No
Bills,"$19,944,781","$6,387,880","$25,829,273","$10,298,780","$36,560,924","$99,021,638","$25,176,111","$17,577,921","$13,860,962","$18,533,178","$35,531,181","$110,679,353",11,0.65,Yes
Broncos,"$25,324,999","$7,149,711","$35,183,330","$6,352,259","$39,558,150","$113,568,449","$24,862,987","$4,526,343","$14,127,677","$22,540,687","$14,468,988","$80,526,682",8,0.47,No
Browns,"$21,310,900","$17,967,537","$32,045,047","$9,429,925","$35,323,162","$116,076,571","$12,010,192","$23,799,187","$9,814,588","$9,074,803","$20,568,166","$75,266,936",11,0.65,Yes
Buccaneers,"$3,770,748","$3,380,875","$39,820,879","$3,159,066","$19,928,871","$70,060,439","$14,979,116","$18,421,962","$16,801,474","$5,863,771","$13,556,629","$69,622,952",9,0.53,Yes
Cardinals,"$16,844,656","$11,733,088","$20,520,977","$3,620,907","$33,142,571","$85,862,199","$6,469,199","$13,032,601","$7,665,578","$24,169,555","$6,545,239","$57,882,172",4,0.24,No
Chargers,"$9,870,043","$10,069,324","$32,782,528","$11,307,054","$30,804,697","$94,833,646","$15,376,038","$35,734,350","$11,417,981","$15,584,320","$14,668,036","$92,780,725",5,0.29,No
Chiefs,"$38,471,991","$5,995,507","$21,172,132","$18,162,056","$31,098,916","$114,900,602","$31,133,543","$14,072,463","$9,378,712","$18,650,626","$9,245,043","$82,480,387",11,0.65,Yes
Colts,"$10,809,409","$7,775,210","$11,072,272","$9,484,906","$50,841,263","$89,983,060","$29,746,407","$16,334,361","$10,095,667","$6,112,849","$15,060,884","$77,350,168",9,0.53,No
Commanders,"$9,564,844","$5,355,146","$32,779,538","$12,447,823","$27,506,417","$87,653,768","$33,635,504","$6,248,880","$10,933,437","$10,342,339","$17,426,852","$78,587,012",4,0.24,No
Cowboys,"$29,897,647","$12,991,331","$21,347,863","$3,722,616","$35,528,357","$103,487,814","$6,879,174","$36,337,305","$5,475,007","$17,130,674","$28,894,961","$94,717,121",12,0.71,Yes
Dolphins,"$13,313,645","$7,470,844","$33,529,421","$5,132,126","$35,393,055","$94,839,091","$33,662,405","$16,339,567","$19,519,036","$7,166,219","$23,676,297","$100,363,524",11,0.65,Yes
Eagles,"$8,882,916","$5,384,640","$19,916,139","$9,288,951","$42,619,023","$86,091,669","$17,018,360","$25,305,439","$6,301,993","$4,819,036","$24,210,775","$77,655,603",11,0.65,Yes
Falcons,"$8,433,855","$11,637,972","$11,474,422","$17,210,259","$51,051,501","$99,808,009","$39,789,542","$13,485,272","$7,643,620","$13,471,586","$14,468,617","$88,858,637",7,0.41,No
Giants,"$22,803,889","$13,762,630","$15,943,216","$6,060,250","$34,196,853","$92,766,838","$13,122,221","$12,385,237","$9,350,386","$5,445,447","$27,687,240","$67,990,531",6,0.35,No
Jaguars,"$12,255,031","$5,806,696","$37,563,138","$7,141,203","$42,273,633","$105,039,701","$20,911,594","$29,132,731","$16,769,150","$11,236,873","$20,009,601","$98,059,949",9,0.53,No
Jets,"$19,102,104","$2,960,573","$13,913,451","$14,687,123","$42,079,259","$92,742,510","$11,570,877","$21,834,351","$27,794,495","$13,188,903","$22,095,069","$96,483,695",7,0.41,No
Lions,"$36,535,623","$7,823,880","$14,431,712","$4,531,729","$57,744,745","$121,067,689","$7,990,415","$23,610,715","$9,919,014","$14,934,567","$11,698,296","$68,153,007",12,0.71,Yes
Packers,"$5,456,316","$11,155,155","$7,228,087","$5,266,808","$40,304,214","$69,410,580","$19,015,115","$23,472,274","$11,580,553","$6,760,474","$18,786,231","$79,614,647",9,0.53,Yes
Panthers,"$9,032,922","$4,833,093","$11,922,974","$9,154,683","$33,025,638","$67,969,310","$15,005,956","$25,011,225","$23,273,001","$13,624,144","$20,789,261","$97,703,587",2,0.12,No
Patriots,"$5,245,820","$4,821,153","$20,801,746","$21,306,666","$38,012,301","$90,187,686","$20,265,313","$29,805,933","$14,110,082","$14,290,391","$19,874,542","$98,346,261",4,0.24,No
Raiders,"$9,534,345","$18,687,945","$35,668,800","$5,925,278","$33,514,610","$103,330,978","$13,106,007","$19,273,451","$6,772,298","$9,333,209","$7,681,349","$56,166,314",8,0.47,No
Rams,"$21,286,450","$3,052,046","$22,632,617","$9,799,014","$28,478,390","$85,248,517","$31,122,768","$4,996,437","$4,249,231","$6,341,775","$5,030,039","$51,740,250",10,0.59,Yes
Ravens,"$25,727,000","$7,188,004","$18,520,033","$15,783,915","$49,466,132","$116,685,084","$13,237,691","$13,528,079","$15,267,260","$13,732,729","$21,261,108","$77,026,867",13,0.76,Yes
