Team ▾,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Wins,Winning %,Playoff Appearance
49ers,"$11,983,812","$13,773,525","$30,002,986","$17,973,064","$40,516,504","$114,249,891","$9,265,680","$46,193,357","$22,844,536","$6,753,515","$13,300,954","$98,358,042",12,0.71,Yes
Bears,"$12,762,438","$13,667,873","$36,058,675","$19,785,242","$55,506,316","$137,780,544","$16,909,523","$37,349,089","$28,526,689","$16,505,624","$27,375,027","$126,665,952",11,0.65,Yes
Bengals,"$49,970,055","$4,275,808","$51,464,915","$15,860,530","$38,279,213","$159,850,521","$18,181,692","$41,074,890","$6,942,221","$10,795,577","$13,655,271","$90,649,651",6,0.35,No
Bills,"$39,585,281","$6,782,672","$20,274,725","$19,243,307","$40,988,986","$126,874,971","$29,676,025","$24,669,185","$19,068,953","$9,837,956","$17,995,197","$101,247,316",12,0.71,Yes
Broncos,"$9,674,709","$5,645,122","$18,868,795","$13,048,444","$68,438,098","$115,675,168","$39,469,016","$17,943,372","$17,687,350","$20,976,294","$15,826,112","$111,902,144",14,0.82,Yes
Browns,"$38,501,250","$6,045,179","$13,406,292","$14,715,528","$52,410,352","$125,078,601","$16,974,117","$29,409,093","$11,969,123","$9,426,501","$23,378,488","$91,157,322",5,0.29,No
Buccaneers,"$28,019,000","$5,821,283","$47,695,502","$7,304,279","$27,994,048","$116,834,112","$34,696,312","$21,954,331","$11,336,999","$13,923,822","$19,465,190","$101,376,654",8,0.47,No
Cardinals,"$49,277,344","$10,578,849","$19,049,208","$12,788,060","$44,797,707","$136,491,168","$41,694,048","$19,544,709","$18,542,324","$28,270,740","$13,273,397","$121,325,218",3,0.18,No
Chargers,"$39,738,342","$10,725,832","$15,440,017","$11,054,509","$57,327,838","$134,286,538","$8,697,994","$38,478,756","$9,766,393","$30,901,341","$12,227,383","$100,071,867",11,0.65,Yes
Chiefs,"$29,422,269","$4,916,923","$15,958,788","$27,609,101","$71,814,374","$149,721,455","$28,987,714","$24,084,089","$23,131,890","$6,923,818","$21,563,693","$104,691,204",6,0.35,No
Colts,"$25,095,466","$19,066,186","$33,822,876","$7,876,723","$48,202,285","$134,063,536","$43,568,611","$38,800,834","$12,142,778","$13,501,755","$23,502,766","$131,516,744",8,0.47,No
Commanders,"$18,247,395","$9,246,079","$29,340,954","$13,097,716","$45,698,106","$115,630,250","$35,378,944","$36,663,019","$13,740,726","$12,441,964","$29,618,726","$127,843,379",5,0.29,No
Cowboys,"$51,874,430","$7,552,708","$28,918,155","$6,932,313","$42,226,484","$137,504,090","$21,204,292","$18,072,920","$15,930,045","$21,802,333","$10,275,199","$87,284,789",7,0.41,No
Dolphins,"$42,433,208","$5,494,723","$41,310,419","$4,390,112","$26,062,044","$119,690,506","$16,971,051","$19,812,537","$13,233,277","$8,444,252","$16,452,455","$74,913,572",7,0.41,No
Eagles,"$24,280,430","$10,121,881","$28,644,557","$14,142,664","$51,766,168","$128,955,700","$15,115,573","$11,652,838","$11,558,968","$5,772,077","$11,831,815","$55,931,271",11,0.65,Yes
Falcons,"$46,213,655","$8,291,499","$21,022,610","$17,402,000","$55,124,711","$148,054,475","$22,772,375","$24,640,540","$17,485,552","$16,516,638","$18,733,383","$100,148,488",8,0.47,No
Giants,"$17,116,310","$9,339,982","$22,420,156","$6,933,238","$53,517,062","$109,326,748","$35,108,461","$41,594,561","$22,664,431","$14,230,255","$21,452,795","$135,050,503",4,0.24,No
Jaguars,"$19,182,000","$8,527,486","$28,570,774","$7,314,659","$40,311,164","$103,906,083","$13,906,741","$42,688,529","$18,356,881","$10,723,139","$14,753,966","$100,429,256",13,0.76,Yes
Jets,"$15,090,555","$8,980,994","$15,631,025","$8,085,641","$42,758,639","$90,546,854","$7,351,951","$14,331,071","$17,721,855","$9,400,979","$12,601,302","$61,407,158",3,0.18,No
Lions,"$34,045,000","$15,661,532","$31,436,555","$6,598,636","$50,134,408","$137,876,131","$32,188,668","$20,822,334","$19,556,634","$8,159,817","$21,257,763","$101,985,216",9,0.53,No
Packers,"$31,205,809","$15,119,178","$15,627,939","$6,118,245","$48,066,325","$116,137,496","$8,818,890","$47,125,577","$12,260,033","$22,701,410","$15,368,001","$106,273,911",9,0.53,Yes
Panthers,"$13,731,050","$11,732,259","$14,457,951","$7,472,801","$87,742,220","$135,136,281","$41,894,955","$17,783,364","$7,316,673","$10,432,890","$15,387,395","$92,815,277",8,0.47,Yes
Patriots,"$12,607,219","$13,853,667","$19,251,313","$18,294,667","$47,566,302","$111,573,168","$34,937,564","$19,523,215","$23,294,124","$6,935,336","$23,019,375","$107,709,614",14,0.82,Yes
Raiders,"$43,780,695","$10,645,623","$6,370,957","$9,294,811","$36,563,335","$106,655,421","$8,381,239","$57,950,154","$7,878,831","$11,991,444","$9,400,593","$95,602,261",3,0.18,No
Rams,"$51,797,037","$5,414,743","$26,544,643","$22,457,517","$52,132,208","$158,346,148","$12,205,462","$6,854,395","$4,380,999","$11,088,893","$19,718,882","$54,248,631",12,0.71,Yes
Ravens,"$46,033,444","$12,984,133","$15,269,355","$22,761,044","$21,977,752","$119,025,728","$32,814,472","$13,583,563","$20,570,429","$17,955,731","$19,816,032","$104,740,227",8,0.47,No
Saints,"$3,468,838","$13,343,273","$11,331,549","$26,284,945","$33,306,711","$87,735,316","$14,235,551","$24,245,667","$12,307,993","$11,405,507","$12,528,582","$74,723,300",6,0.35,No
Seahawks,"$16,788,925","$7,189,408","$19,634,863","$6,496,816","$25,370,378","$75,480,390","$26,428,047","$26,964,910","$9,894,140","$9,179,708","$22,354,401","$94,821,206",14,0.82,Yes
Steelers,"$18,368,803","$6,365,557","$17,615,533","$21,372,464","$27,161,552","$90,883,909","$36,215,959","$45,899,595","$27,887,688","$12,334,523","$27,510,990","$149,848,755",10,0.59,Yes
Texans,"$14,849,460","$15,857,707","$24,608,462","$10,391,734","$24,615,327","$90,322,690","$19,008,104","$41,817,639","$18,083,559","$10,198,713","$24,703,268","$113,811,283",12,0.71,Yes
Titans,"$12,994,836","$12,338,175","$34,130,969","$5,882,033","$51,541,632","$116,887,645","$33,597,607","$14,698,331","$8,221,440","$16,192,044","$26,873,457","$99,582,879",3,0.18,No
Vikings,"$7,408,387","$11,877,711","$23,958,276","$23,257,020","$60,668,507","$127,169,901","$17,644,878","$41,869,277","$11,290,099","$17,976,564","$15,133,167","$103,913,985",9,0.53,No
