Team ▾,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Wins,Winning %,Playoff Appearance
49ers,"$21,532,358","$12,516,472","$15,938,972","$4,258,221","$37,558,398","$91,804,421","$7,219,127","$39,706,057","$15,326,818","$10,736,568","$16,769,419","$89,757,989",13,0.81,Yes
Bears,"$14,055,437","$1,792,775","$28,561,458","$12,492,121","$19,864,821","$76,766,612","$18,306,693","$19,067,986","$16,116,704","$5,683,006","$30,304,445","$89,478,834",8,0.50,No
Bengals,"$17,389,080","$7,753,530","$28,740,271","$10,882,654","$32,697,458","$97,462,993","$18,381,875","$13,617,308","$4,597,140","$7,071,863","$23,542,739","$67,210,925",2,0.13,No
Bills,"$6,713,826","$4,562,191","$18,785,529","$10,198,933","$31,194,376","$71,454,855","$21,159,179","$26,135,699","$11,160,531","$12,774,835","$7,549,959","$78,780,203",10,0.63,Yes
Broncos,"$6,936,162","$4,939,853","$4,509,420","$7,329,076","$26,251,247","$49,965,758","$19,079,701","$32,887,968","$7,801,084","$11,185,503","$19,461,415","$90,415,671",7,0.44,No
Browns,"$11,826,075","$3,404,034","$35,727,967","$6,562,380","$36,723,539","$94,243,995","$11,397,361","$24,112,662","$14,396,593","$15,255,977","$21,268,697","$86,431,290",6,0.38,No
Buccaneers,"$23,770,750","$5,056,256","$21,803,199","$11,313,773","$42,981,228","$104,925,206","$21,184,145","$18,583,642","$17,521,770","$5,355,326","$6,117,885","$68,762,768",7,0.44,No
Cardinals,"$8,296,599","$12,140,266","$16,674,681","$3,588,603","$34,014,338","$74,714,487","$10,667,138","$21,964,198","$7,709,824","$4,786,932","$17,466,133","$62,594,225",5,0.31,No
Chargers,"$27,064,655","$6,477,550","$23,608,026","$7,014,216","$37,523,591","$101,688,038","$8,892,283","$30,481,766","$11,889,408","$7,265,608","$12,377,117","$70,906,182",5,0.31,No
Chiefs,"$9,288,808","$6,758,058","$25,947,032","$12,691,900","$30,594,087","$85,279,885","$7,958,341","$13,963,072","$11,996,608","$14,285,030","$9,297,683","$57,500,734",12,0.75,Yes
Colts,"$11,793,235","$2,907,359","$31,309,352","$14,444,000","$29,040,221","$89,494,167","$6,581,313","$31,084,855","$4,862,403","$9,200,559","$21,669,013","$73,398,143",7,0.44,No
Commanders,"$29,974,202","$8,218,621","$9,962,196","$17,664,279","$32,197,919","$98,017,217","$11,134,561","$18,408,787","$3,849,469","$7,558,867","$22,689,383","$63,641,067",3,0.19,No
Cowboys,"$2,903,516","$7,258,235","$23,195,205","$6,115,957","$52,928,659","$92,401,572","$16,270,733","$24,047,890","$14,935,984","$5,626,954","$11,759,970","$72,641,531",8,0.50,No
Dolphins,"$7,119,898","$1,989,719","$21,269,506","$2,790,180","$10,059,484","$43,228,787","$7,091,738","$4,005,733","$5,737,573","$30,648,047","$17,524,815","$65,007,906",5,0.31,No
Eagles,"$14,278,779","$5,468,274","$19,997,045","$7,822,805","$36,444,965","$84,011,868","$17,465,235","$11,566,811","$7,692,784","$20,577,441","$9,679,240","$66,981,511",9,0.56,Yes
Falcons,"$18,063,000","$9,484,109","$15,332,230","$5,258,881","$36,609,416","$84,747,636","$17,244,922","$10,698,868","$21,102,931","$10,218,404","$17,012,133","$76,277,258",7,0.44,No
Giants,"$28,405,163","$8,989,981","$16,166,352","$8,759,798","$26,599,108","$88,920,402","$7,672,043","$11,674,925","$14,231,925","$8,300,429","$5,000,958","$46,880,280",4,0.25,No
Jaguars,"$13,149,963","$9,322,496","$13,956,013","$5,508,925","$32,106,212","$74,043,609","$27,738,114","$7,443,609","$12,613,248","$6,361,198","$24,220,950","$78,377,119",6,0.38,No
Jets,"$9,491,711","$11,432,801","$19,374,147","$3,093,662","$35,809,241","$79,201,562","$18,448,512","$6,035,480","$25,047,180","$11,243,424","$22,098,745","$82,873,341",7,0.44,No
Lions,"$31,930,059","$2,307,429","$17,465,459","$6,730,065","$27,129,944","$85,562,956","$15,087,044","$9,609,031","$15,306,901","$5,017,157","$23,637,112","$68,657,245",3,0.19,No
Packers,"$30,060,000","$2,275,911","$16,313,123","$16,508,239","$45,779,795","$110,937,068","$8,776,062","$18,915,217","$4,713,346","$8,930,462","$13,575,522","$54,910,609",13,0.81,Yes
Panthers,"$24,395,545","$6,283,177","$9,197,102","$9,028,498","$22,616,326","$71,520,648","$30,399,334","$18,490,862","$22,276,998","$8,586,514","$7,357,669","$87,111,377",5,0.31,No
Patriots,"$22,535,204","$12,229,419","$18,179,022","$2,677,268","$23,741,152","$79,362,065","$6,821,358","$10,952,860","$19,123,431","$27,918,225","$18,863,654","$83,679,528",12,0.75,Yes
Raiders,"$25,688,481","$8,002,165","$14,399,349","$5,767,514","$40,914,105","$94,771,614","$5,970,975","$10,718,493","$8,512,658","$19,976,408","$9,652,415","$54,830,949",7,0.44,No
Rams,"$11,765,577","$12,126,193","$26,412,655","$4,228,642","$31,811,467","$86,344,534","$30,585,660","$17,851,822","$6,129,397","$9,800,904","$11,806,937","$76,174,720",9,0.56,No
Ravens,"$4,187,820","$4,647,747","$12,405,040","$6,811,187","$24,600,941","$52,652,735","$20,449,011","$5,276,260","$5,177,136","$23,587,904","$39,039,526","$93,529,837",14,0.88,Yes
Saints,"$26,595,000","$3,756,693","$13,051,443","$6,502,176","$42,560,951","$92,466,263","$10,807,620","$14,664,025","$20,311,789","$4,190,537","$16,638,197","$66,612,168",13,0.81,Yes
Seahawks,"$26,996,766","$5,035,413","$12,335,319","$6,730,075","$34,000,896","$85,098,469","$5,120,514","$21,581,217","$27,139,216","$10,653,670","$4,300,635","$68,795,252",11,0.69,Yes
Steelers,"$27,991,392","$1,766,913","$4,570,576","$8,105,668","$36,091,768","$78,526,317","$31,563,825","$14,409,336","$13,056,501","$5,534,972","$18,112,322","$82,676,956",8,0.50,No
Texans,"$7,833,793","$12,744,125","$27,327,533","$3,376,502","$26,680,848","$77,962,801","$24,929,692","$18,363,703","$9,961,506","$11,103,156","$19,735,855","$84,093,912",10,0.63,Yes
Titans,"$23,283,000","$7,319,205","$16,140,089","$8,786,988","$34,514,326","$90,043,608","$25,607,015","$8,743,596","$10,915,774","$8,433,793","$30,531,666","$84,231,844",9,0.56,Yes
Vikings,"$29,905,000","$4,409,766","$22,442,158","$6,058,384","$24,116,130","$86,931,438","$15,106,796","$23,691,333","$12,871,959","$15,018,703","$27,075,664","$93,764,455",10,0.63,Yes
