Team ▾,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Wins,Winning %,Playoff Appearance
49ers,"$33,349,156","$8,755,882","$9,519,367","$7,605,421","$29,961,607","$89,191,433","$21,445,797","$25,138,133","$7,616,028","$9,059,886","$12,969,437","$76,229,281",10,0.59,Yes
Bears,"$15,162,197","$6,793,142","$23,816,178","$9,074,724","$18,806,298","$73,652,539","$26,939,624","$28,831,896","$14,937,106","$8,872,500","$6,517,421","$86,098,547",6,0.35,No
Bengals,"$9,918,102","$11,151,410","$20,240,018","$8,811,429","$25,634,500","$75,755,459","$24,636,551","$18,701,932","$6,670,520","$11,945,326","$33,305,529","$95,259,858",10,0.59,Yes
Bills,"$12,943,981","$4,749,059","$22,340,141","$2,152,750","$36,239,851","$78,425,782","$21,121,386","$24,237,883","$23,070,184","$13,577,981","$13,341,560","$95,348,994",11,0.65,Yes
Broncos,"$7,063,475","$12,823,198","$15,644,823","$5,387,629","$27,755,031","$68,674,156","$10,943,846","$12,395,715","$10,360,250","$13,133,496","$28,883,123","$75,716,430",7,0.41,No
Browns,"$17,953,574","$12,035,178","$18,397,436","$16,112,858","$48,082,696","$112,581,742","$4,940,321","$18,031,468","$8,430,221","$10,599,169","$16,475,385","$58,476,564",8,0.47,No
Buccaneers,"$13,552,013","$7,903,400","$27,844,841","$11,246,722","$32,632,000","$93,178,976","$18,437,066","$20,874,895","$14,636,136","$6,607,793","$10,080,486","$70,636,376",13,0.76,Yes
Cardinals,"$11,081,777","$4,387,168","$22,461,209","$10,860,784","$38,223,833","$87,014,771","$17,619,203","$33,036,833","$17,081,727","$11,793,083","$5,346,723","$84,877,569",11,0.65,Yes
Chargers,"$8,035,281","$8,542,094","$34,801,898","$7,986,554","$32,588,937","$91,954,764","$19,659,580","$25,210,644","$8,301,664","$7,817,229","$22,630,464","$83,619,581",9,0.53,No
Chiefs,"$9,351,714","$5,433,901","$22,867,909","$9,570,894","$18,617,755","$65,842,173","$18,486,165","$29,594,317","$15,978,427","$23,604,868","$9,058,130","$96,721,907",12,0.71,Yes
Colts,"$22,136,113","$6,827,157","$16,192,231","$10,466,191","$43,792,546","$99,414,238","$29,958,645","$11,329,895","$13,284,980","$5,690,631","$17,788,830","$78,052,981",9,0.53,No
Commanders,"$13,591,944","$3,951,831","$11,023,030","$7,081,381","$43,517,622","$79,165,808","$20,312,747","$13,948,471","$10,373,793","$22,785,858","$22,097,770","$89,518,639",7,0.41,No
Cowboys,"$19,135,600","$9,421,449","$33,396,526","$8,390,452","$33,054,614","$103,398,641","$7,668,124","$31,773,423","$11,100,359","$5,742,020","$15,221,629","$71,505,555",12,0.71,Yes
Dolphins,"$11,954,381","$5,920,953","$38,584,072","$10,306,584","$16,909,929","$83,675,919","$13,066,824","$11,270,090","$9,884,867","$12,997,394","$34,411,144","$81,630,319",9,0.53,No
Eagles,"$2,622,691","$3,587,095","$10,234,216","$5,787,910","$38,148,853","$60,380,765","$21,527,711","$16,619,103","$5,457,482","$5,487,108","$15,124,292","$64,215,696",9,0.53,Yes
Falcons,"$29,429,000","$3,371,749","$12,173,921","$10,820,907","$28,356,946","$84,152,523","$28,858,522","$13,833,204","$10,355,974","$5,057,903","$8,919,054","$67,024,657",7,0.41,No
Giants,"$8,984,088","$14,243,098","$17,100,319","$13,588,566","$30,547,004","$84,463,075","$17,946,070","$6,332,731","$11,369,889","$16,104,871","$20,717,406","$72,470,967",4,0.24,No
Jaguars,"$8,947,733","$6,466,686","$14,495,851","$6,349,550","$51,489,049","$87,748,869","$9,719,167","$18,128,257","$17,240,543","$6,730,468","$14,101,980","$65,920,415",3,0.18,No
Jets,"$7,962,377","$3,954,009","$29,573,413","$6,176,082","$45,637,619","$93,303,500","$18,957,019","$17,880,400","$16,904,572","$15,659,946","$6,983,190","$76,385,127",4,0.24,No
Lions,"$14,042,071","$5,166,911","$5,166,732","$6,768,589","$30,734,194","$61,878,497","$10,650,670","$28,999,584","$6,343,876","$6,480,559","$11,531,638","$64,006,327",3,0.18,No
Packers,"$30,581,060","$6,594,753","$25,407,456","$6,298,940","$25,662,744","$94,544,953","$14,912,057","$30,741,794","$3,709,686","$12,249,104","$10,494,161","$72,106,802",13,0.76,Yes
Panthers,"$11,654,685","$8,710,326","$16,677,314","$4,033,313","$21,170,301","$62,245,939","$14,544,720","$11,028,902","$10,498,344","$8,287,077","$19,983,381","$64,342,424",5,0.29,No
Patriots,"$3,842,908","$5,995,321","$17,865,475","$15,278,024","$29,626,483","$72,608,211","$9,620,537","$17,559,662","$22,789,047","$20,807,958","$20,534,652","$91,311,856",10,0.59,Yes
Raiders,"$25,765,000","$10,563,364","$5,819,855","$8,743,209","$31,969,547","$82,860,975","$11,778,821","$18,564,836","$19,055,704","$6,248,290","$9,303,864","$64,951,515",10,0.59,Yes
Rams,"$21,515,000","$6,524,693","$15,345,744","$8,559,019","$19,911,195","$71,855,651","$24,636,263","$10,301,210","$2,935,466","$4,560,477","$17,562,194","$59,995,610",12,0.71,Yes
Ravens,"$4,028,597","$7,300,004","$14,428,685","$10,494,617","$26,461,996","$62,713,899","$32,559,525","$9,520,273","$8,917,743","$7,604,949","$31,470,976","$90,073,466",8,0.47,No
