Team ▾,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Wins,Winning %,Playoff Appearance
49ers,"$17,234,471","$4,458,248","$13,805,614","$2,762,661","$19,757,909","$58,018,903","$6,591,793","$11,474,979","$10,783,706","$8,880,119","$6,467,970","$44,198,567",5,0.31,No
Bears,"$16,725,388","$11,448,751","$12,781,274","$7,560,294","$17,921,204","$66,436,911","$5,097,132","$17,841,113","$4,210,126","$8,796,854","$6,925,380","$42,870,605",6,0.38,No
Bengals,"$10,238,778","$4,040,770","$18,726,078","$3,962,305","$26,041,777","$63,009,708","$14,160,300","$11,753,976","$20,598,622","$8,119,150","$16,808,890","$71,440,938",12,0.75,Yes
Bills,"$3,732,738","$7,707,163","$12,781,663","$5,735,146","$15,086,305","$45,043,015","$16,827,353","$27,384,012","$7,282,129","$5,657,363","$16,809,630","$73,960,487",8,0.50,No
Broncos,"$19,067,139","$2,115,642","$23,083,075","$7,984,142","$25,231,140","$77,481,138","$9,780,662","$21,029,315","$3,297,368","$11,305,871","$13,543,730","$58,956,946",12,0.75,Yes
Browns,"$8,093,954","$1,964,338","$14,792,090","$5,193,030","$27,241,456","$57,284,868","$15,138,196","$14,097,291","$9,223,625","$11,656,943","$23,514,408","$73,630,463",3,0.19,No
Buccaneers,"$5,965,886","$5,081,515","$18,129,732","$4,336,557","$20,141,348","$53,655,038","$23,969,929","$5,445,509","$12,188,387","$4,087,338","$8,260,432","$53,951,595",6,0.38,No
Cardinals,"$11,834,168","$2,946,734","$16,186,291","$5,182,957","$29,469,242","$65,619,392","$23,944,442","$5,601,270","$9,462,857","$4,181,310","$22,409,565","$65,599,444",13,0.81,Yes
Chargers,"$23,002,368","$7,201,545","$8,556,430","$10,790,590","$18,814,927","$68,365,860","$13,709,705","$4,619,834","$10,188,872","$12,240,418","$9,571,186","$50,330,015",4,0.25,No
Chiefs,"$21,476,940","$9,656,539","$6,172,669","$2,273,413","$16,685,651","$56,265,212","$11,816,841","$13,645,289","$8,095,994","$14,112,700","$11,077,574","$58,748,398",11,0.69,Yes
Colts,"$10,966,900","$5,547,765","$13,153,178","$4,034,629","$14,365,795","$48,068,267","$14,935,562","$24,983,566","$10,511,983","$5,801,282","$21,055,447","$77,287,840",8,0.50,No
Commanders,"$8,997,885","$3,242,342","$24,335,809","$5,451,490","$27,764,389","$69,791,915","$20,732,031","$9,316,339","$7,356,014","$6,696,517","$10,756,352","$54,857,253",9,0.56,Yes
