Team ▾,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Wins,Winning %,Playoff Appearance
49ers,"$1,280,189","$2,825,514","$13,826,473","$3,831,656","$25,604,947","$47,368,779","$8,811,687","$17,957,489","$8,945,957","$9,535,769","$6,441,770","$51,692,672",6,0.38,No
Bears,"$21,278,625","$2,385,295","$14,645,439","$10,633,090","$31,878,770","$80,821,219","$14,795,376","$16,993,112","$11,977,212","$7,234,912","$17,788,027","$68,788,639",5,0.31,No
Bengals,"$16,798,413","$7,569,296","$24,430,688","$9,413,806","$17,262,341","$75,474,544","$12,361,126","$14,384,255","$17,613,896","$10,969,118","$22,900,422","$78,228,817",7,0.44,No
Bills,"$10,238,211","$11,190,118","$6,496,909","$11,467,859","$35,796,366","$75,189,463","$10,325,927","$13,718,331","$7,077,973","$7,686,153","$5,801,497","$44,609,881",9,0.56,Yes
Broncos,"$3,920,973","$6,090,264","$25,054,318","$4,832,368","$23,704,519","$63,602,442","$18,109,284","$23,398,406","$9,388,589","$8,775,903","$24,273,641","$83,945,823",5,0.31,No
Browns,"$2,209,957","$4,470,494","$5,198,547","$3,254,760","$41,615,803","$56,749,561","$5,528,898","$9,198,852","$21,613,135","$3,882,857","$7,163,759","$47,387,501",0,0.00,No
Buccaneers,"$11,738,985","$8,969,129","$18,804,531","$3,178,912","$23,495,847","$66,187,404","$30,220,786","$9,762,983","$8,819,460","$8,500,031","$17,764,740","$75,068,000",5,0.31,No
Cardinals,"$29,489,118","$3,666,976","$20,439,056","$6,097,469","$28,917,997","$88,610,616","$11,978,095","$14,486,303","$6,172,044","$15,728,455","$21,047,533","$69,412,430",8,0.50,No
Chargers,"$19,155,000","$5,059,879","$20,577,484","$8,986,982","$21,498,674","$75,278,019","$17,068,671","$23,167,189","$5,864,393","$6,553,828","$9,329,846","$61,983,927",9,0.56,No
Chiefs,"$21,205,288","$4,243,728","$5,474,701","$7,192,941","$25,611,612","$63,728,270","$16,972,578","$35,949,428","$6,576,004","$14,053,421","$6,828,257","$80,379,688",10,0.63,Yes
Colts,"$22,129,791","$6,704,574","$15,603,598","$10,039,875","$20,295,961","$74,773,799","$14,868,181","$21,252,770","$3,079,205","$7,567,614","$4,398,800","$51,166,570",4,0.25,No
Commanders,"$27,543,600","$4,474,359","$10,894,949","$11,840,649","$34,757,110","$89,510,667","$12,451,986","$17,002,208","$8,198,492","$6,606,862","$24,425,407","$68,684,955",7,0.44,No
Cowboys,"$1,782,314","$7,879,602","$26,062,634","$16,565,097","$23,737,956","$76,027,603","$4,846,639","$17,309,055","$13,571,954","$3,098,994","$10,844,663","$49,671,305",9,0.56,No
Dolphins,"$33,058,282","$3,310,080","$9,776,316","$9,519,411","$22,688,764","$78,352,853","$21,338,272","$20,091,185","$11,883,805","$11,301,524","$5,758,889","$70,373,675",6,0.38,No
Eagles,"$7,948,686","$7,712,155","$20,433,394","$10,106,000","$34,671,590","$80,871,825","$14,920,141","$21,800,072","$14,705,805","$14,776,850","$4,361,412","$70,564,280",13,0.81,Yes
Falcons,"$27,422,800","$5,928,217","$28,103,286","$4,019,531","$25,953,036","$91,426,870","$11,309,437","$18,256,298","$8,512,929","$6,556,132","$15,535,401","$60,170,197",10,0.63,Yes
Giants,"$21,444,105","$6,846,041","$14,572,454","$4,806,305","$21,971,246","$69,640,151","$13,231,093","$26,432,590","$11,922,152","$3,870,386","$27,976,841","$83,433,062",3,0.19,No
Jaguars,"$10,071,983","$13,724,506","$13,512,773","$7,480,525","$23,902,263","$68,692,050","$36,897,369","$8,251,178","$13,216,415","$15,958,866","$13,849,553","$88,173,381",10,0.63,Yes
Jets,"$8,334,184","$10,310,192","$8,058,956","$2,443,262","$29,743,163","$58,889,757","$30,004,586","$5,244,382","$5,963,101","$6,921,694","$16,360,022","$64,493,785",5,0.31,No
Lions,"$17,047,200","$5,553,764","$18,671,297","$5,529,031","$22,993,789","$69,795,081","$15,087,353","$14,892,449","$12,040,537","$11,021,745","$17,917,711","$70,959,795",9,0.56,No
Packers,"$21,034,437","$2,394,382","$31,564,129","$3,754,657","$28,553,585","$87,301,190","$14,712,089","$26,170,012","$2,563,395","$11,727,962","$9,272,758","$64,446,216",7,0.44,No
Panthers,"$22,710,632","$11,316,345","$7,593,965","$15,861,068","$22,836,833","$80,318,843","$19,975,799","$14,930,437","$27,237,850","$7,693,071","$6,607,630","$76,444,787",11,0.69,Yes
Patriots,"$14,476,471","$11,010,522","$18,838,336","$12,917,262","$22,196,744","$79,439,335","$10,484,357","$5,229,052","$13,278,110","$23,735,041","$16,603,309","$69,329,869",13,0.81,Yes
Raiders,"$17,066,663","$3,913,937","$21,228,435","$8,513,978","$43,133,182","$93,856,195","$4,925,768","$16,020,328","$3,913,692","$11,365,174","$22,873,492","$59,098,454",6,0.38,No
Rams,"$7,755,133","$6,953,354","$25,219,237","$3,237,501","$20,306,285","$63,471,510","$19,055,848","$15,841,769","$17,897,035","$5,194,177","$22,147,687","$80,136,516",11,0.69,Yes
