Team ▾,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Wins,Winning %,Playoff Appearance
49ers,"$23,694,507","$3,028,926","$11,876,072","$5,615,042","$16,923,639","$61,138,186","$9,996,826","$13,678,890","$16,215,848","$10,807,904","$9,075,198","$59,774,666",2,0.13,No
Bears,"$20,140,353","$2,164,522","$23,144,751","$4,465,009","$25,002,276","$74,916,911","$10,499,728","$23,295,184","$11,928,466","$3,785,524","$9,703,965","$59,212,867",3,0.19,No
Bengals,"$14,195,413","$7,582,248","$17,965,568","$4,895,878","$26,963,355","$71,602,462","$15,774,614","$15,267,615","$15,238,247","$10,932,963","$20,040,214","$77,253,653",6,0.38,No
Bills,"$10,286,322","$10,305,929","$12,971,463","$7,994,746","$19,315,114","$60,873,574","$22,682,421","$11,436,205","$4,326,517","$14,367,753","$15,208,647","$68,021,543",7,0.44,No
Broncos,"$2,261,161","$7,652,724","$24,631,438","$4,002,548","$14,289,846","$52,837,717","$14,874,328","$22,787,306","$6,341,732","$11,486,444","$22,329,018","$77,818,828",9,0.56,No
Browns,"$11,022,385","$2,873,269","$8,060,225","$3,663,632","$20,849,784","$46,469,295","$11,120,534","$1,500,998","$6,626,100","$2,503,713","$23,427,666","$45,179,011",1,0.06,No
Buccaneers,"$8,192,029","$9,960,806","$20,084,145","$4,575,686","$28,332,177","$71,144,843","$18,489,165","$14,390,783","$15,028,993","$5,670,300","$21,537,490","$75,116,731",9,0.56,No
Cardinals,"$20,967,647","$5,171,763","$19,073,522","$5,942,819","$19,298,535","$70,454,286","$23,704,115","$12,115,452","$6,216,592","$11,210,539","$16,623,998","$69,870,696",7,0.44,No
Chargers,"$17,180,000","$7,117,376","$18,017,691","$8,274,768","$25,663,138","$76,252,973","$18,034,830","$14,930,795","$5,378,711","$7,089,050","$18,462,884","$63,896,270",5,0.31,No
Chiefs,"$20,232,200","$8,036,819","$16,078,663","$4,923,789","$14,976,072","$64,247,543","$17,326,136","$21,124,929","$7,381,104","$15,661,151","$5,252,667","$66,745,987",12,0.75,Yes
Colts,"$19,980,000","$5,551,333","$14,669,690","$11,144,550","$20,978,970","$72,324,543","$11,141,107","$17,579,573","$6,160,859","$7,650,838","$13,866,511","$56,398,888",8,0.50,No
Commanders,"$22,237,334","$2,428,948","$23,519,793","$8,387,911","$26,070,817","$82,644,803","$9,823,954","$11,615,247","$4,179,207","$7,736,030","$10,733,385","$44,087,823",8,0.50,No
Cowboys,"$23,926,148","$9,073,966","$19,837,501","$9,867,494","$21,408,752","$84,113,861","$4,585,559","$10,409,388","$15,942,586","$8,367,517","$20,670,361","$59,975,411",13,0.81,Yes
Dolphins,"$13,281,182","$1,974,686","$6,367,688","$11,317,299","$28,834,646","$61,775,501","$17,479,805","$24,908,290","$8,873,417","$11,884,805","$12,949,485","$76,095,802",10,0.63,Yes
Eagles,"$9,960,643","$10,317,028","$4,931,355","$6,394,996","$33,687,976","$65,291,998","$9,762,192","$19,854,836","$12,105,117","$11,531,668","$7,119,979","$60,373,792",7,0.44,No
Falcons,"$25,631,100","$1,852,741","$21,945,916","$5,486,900","$21,046,268","$75,962,925","$3,803,031","$20,886,504","$10,513,747","$4,903,067","$6,580,038","$46,686,387",11,0.69,Yes
Giants,"$25,595,300","$9,665,597","$15,930,551","$3,014,714","$13,382,316","$67,588,478","$9,138,463","$24,753,166","$12,393,270","$3,598,913","$21,773,449","$71,657,261",11,0.69,Yes
Jaguars,"$10,864,196","$5,551,588","$14,724,668","$11,943,324","$23,735,090","$66,818,866","$33,501,913","$7,011,441","$11,297,021","$7,647,569","$16,930,497","$76,388,441",3,0.19,No
Jets,"$10,107,898","$5,337,110","$20,760,335","$2,530,923","$27,844,419","$66,580,685","$21,908,891","$2,652,225","$10,859,069","$7,858,962","$24,531,901","$67,811,048",5,0.31,No
Lions,"$23,338,824","$3,971,695","$17,699,492","$6,514,242","$17,174,595","$68,698,848","$8,782,820","$8,535,944","$13,539,421","$11,189,104","$8,071,148","$50,118,437",9,0.56,Yes
Packers,"$19,910,320","$4,891,731","$20,545,094","$3,544,204","$20,810,535","$69,701,884","$14,048,475","$32,922,762","$1,857,299","$10,976,780","$16,459,880","$76,265,196",10,0.63,Yes
Panthers,"$21,450,000","$10,958,863","$8,550,593","$8,019,942","$25,130,242","$74,109,640","$9,915,073","$5,907,171","$18,305,233","$5,817,094","$3,505,394","$43,449,965",6,0.38,No
Patriots,"$15,259,305","$5,014,925","$17,034,672","$12,753,868","$26,847,155","$76,909,925","$5,119,235","$14,912,527","$13,450,124","$12,755,434","$4,775,449","$51,012,769",14,0.88,Yes
Raiders,"$4,623,009","$2,818,849","$19,361,975","$5,870,639","$36,972,041","$69,646,513","$10,767,380","$19,443,717","$7,072,959","$12,697,085","$20,847,900","$70,829,041",12,0.75,Yes
Rams,"$9,453,311","$6,684,248","$16,984,504","$7,779,092","$18,948,473","$59,849,628","$12,337,912","$22,337,341","$9,904,864","$6,193,434","$14,857,989","$65,631,540",4,0.25,No
Ravens,"$24,056,900","$2,492,212","$13,619,295","$8,561,035","$18,007,403","$66,736,845","$7,240,013","$17,109,523","$4,802,149","$18,916,487","$13,055,152","$61,123,324",8,0.50,No
Saints,"$18,617,300","$4,961,190","$5,224,319","$5,726,719","$19,176,356","$53,705,884","$5,140,464","$9,660,901","$9,598,215","$16,579,686","$4,828,050","$45,807,316",7,0.44,No
Seahawks,"$18,997,000","$2,236,171","$13,750,952","$12,684,653","$6,307,577","$53,976,353","$5,661,793","$17,312,549","$15,426,110","$17,920,176","$20,642,727","$76,963,355",10,0.63,Yes
Steelers,"$25,334,805","$4,433,346","$16,885,326","$4,133,728","$28,392,364","$79,179,569","$14,224,578","$10,044,940","$20,449,321","$7,261,255","$6,603,699","$58,583,793",11,0.69,Yes
Texans,"$14,412,646","$7,911,734","$6,448,981","$2,062,362","$31,103,538","$61,939,261","$22,938,450","$14,197,538","$14,400,101","$5,327,548","$19,939,515","$76,803,152",9,0.56,Yes
Titans,"$7,534,058","$7,603,960","$14,852,328","$10,992,080","$21,398,613","$62,381,039","$15,355,883","$17,193,846","$8,042,363","$10,382,798","$13,084,964","$64,059,854",9,0.56,No
Vikings,"$12,430,538","$13,666,191","$8,596,564","$7,804,564","$32,879,606","$75,377,463","$11,885,987","$16,151,461","$11,877,574","$12,925,603","$16,485,260","$69,325,885",8,0.50,No
