Team ▾,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Wins,Winning %,Playoff Appearance
49ers,"$2,897,535","$9,284,062","$16,963,177","$10,569,598","$17,581,156","$57,295,528","$11,028,483","$10,194,288","$7,666,512","$11,326,955","$13,185,741","$53,401,979",12,0.75,Yes
Bears,"$11,276,471","$12,036,166","$16,580,067","$2,495,000","$10,071,052","$52,458,756","$10,999,363","$18,744,765","$12,510,915","$3,802,254","$15,375,000","$61,432,297",8,0.5,No
Bengals,"$2,881,583","$5,750,703","$8,730,272","$5,005,166","$22,390,147","$44,757,871","$13,979,869","$24,778,885","$8,370,673","$5,834,061","$16,118,302","$69,081,790",11,0.69,Yes
Bills,"$4,663,940","$8,362,867","$8,979,223","$4,489,668","$14,455,361","$40,951,059","$16,611,040","$13,270,000","$5,414,838","$10,503,423","$7,069,748","$52,869,049",6,0.38,No
Broncos,"$18,716,295","$5,070,632","$10,120,554","$8,013,902","$25,754,095","$67,675,478","$6,880,138","$10,234,767","$8,030,669","$5,894,346","$17,559,225","$48,599,145",13,0.81,Yes
Browns,"$4,171,299","$2,200,883","$5,666,354","$2,620,527","$23,789,034","$38,448,097","$19,697,955","$14,276,906","$7,765,000","$2,500,318","$10,928,931","$55,169,110",4,0.25,No
Buccaneers,"$1,256,375","$4,644,753","$13,444,505","$2,393,504","$25,305,673","$47,044,810","$14,773,893","$5,032,152","$5,804,388","$13,033,579","$19,521,921","$58,165,933",4,0.25,No
Cardinals,"$6,172,993","$5,306,754","$15,022,466","$4,425,078","$19,171,690","$50,098,981","$20,498,000","$5,347,625","$7,964,030","$2,809,618","$10,407,900","$47,027,173",10,0.63,No
Chargers,"$15,996,516","$5,201,250","$10,926,398","$8,795,715","$17,428,226","$58,348,105","$6,241,425","$13,838,120","$4,555,052","$11,490,435","$4,839,588","$40,964,620",9,0.56,Yes
Chiefs,"$10,708,333","$5,379,755","$8,668,150","$3,435,650","$20,708,982","$48,900,870","$13,759,289","$17,451,636","$5,081,500","$13,251,425","$13,096,878","$62,640,728",11,0.69,Yes
Colts,"$8,626,545","$7,195,732","$11,908,481","$2,615,661","$18,601,449","$48,947,868","$13,140,390","$16,498,650","$4,492,779","$13,323,235","$9,596,407","$57,051,461",11,0.69,Yes
Commanders,"$5,972,967","$2,212,882","$19,735,321","$4,645,357","$20,025,614","$52,592,141","$14,227,749","$9,152,416","$10,476,684","$4,619,719","$7,102,431","$45,578,999",3,0.19,No
Cowboys,"$13,818,982","$2,257,011","$8,120,768","$5,623,758","$19,470,710","$49,291,229","$4,133,225","$20,864,805","$7,285,429","$3,626,564","$12,623,808","$48,533,831",8,0.5,No
Dolphins,"$5,859,205","$2,412,352","$8,242,874","$6,007,127","$17,575,011","$40,096,569","$15,944,118","$11,848,139","$9,006,508","$5,027,138","$13,351,955","$55,177,858",8,0.5,No
Eagles,"$13,385,137","$10,203,112","$19,241,989","$5,509,036","$25,664,899","$74,004,173","$5,264,666","$10,241,101","$10,004,817","$6,920,158","$6,032,738","$38,463,480",10,0.63,Yes
Falcons,"$10,920,140","$6,293,062","$17,406,642","$6,938,146","$16,464,048","$58,022,038","$9,806,798","$8,139,270","$8,433,728","$7,249,890","$9,276,181","$42,905,867",4,0.25,No
Giants,"$21,998,400","$5,036,739","$8,677,626","$2,998,913","$24,235,900","$62,947,578","$5,118,995","$9,523,813","$7,916,847","$12,704,990","$11,202,110","$46,466,755",7,0.44,No
Jaguars,"$8,347,588","$9,012,941","$6,832,868","$7,160,882","$14,812,080","$46,166,359","$4,612,010","$9,323,215","$13,544,999","$2,631,626","$3,572,072","$33,683,922",4,0.25,No
Jets,"$14,759,018","$4,154,535","$12,811,933","$2,593,765","$20,679,882","$54,999,133","$5,447,833","$4,476,989","$15,203,295","$3,028,114","$13,025,418","$41,181,649",8,0.5,No
Lions,"$21,556,666","$3,987,009","$15,383,546","$4,207,277","$12,601,451","$57,735,949","$14,671,559","$7,814,297","$10,468,126","$4,758,334","$6,133,807","$43,846,123",7,0.44,No
Packers,"$13,013,000","$2,429,420","$10,223,980","$11,341,695","$17,211,503","$54,219,598","$15,831,195","$12,650,974","$9,100,786","$4,969,273","$13,957,143","$56,509,371",8,0.5,Yes
Panthers,"$7,579,454","$9,290,450","$11,041,036","$4,325,000","$18,981,126","$51,217,066","$5,096,152","$11,629,844","$12,335,911","$6,639,853","$3,244,456","$38,946,216",12,0.75,Yes
Patriots,"$14,603,953","$3,682,367","$8,749,814","$4,150,882","$22,775,490","$53,962,506","$15,169,500","$6,420,702","$10,801,171","$7,386,653","$8,618,787","$48,396,813",12,0.75,Yes
Raiders,"$1,146,517","$11,735,884","$4,609,651","$1,496,363","$10,275,023","$29,263,438","$5,163,512","$2,078,750","$6,548,030","$6,764,294","$6,782,330","$27,336,916",4,0.25,No
Rams,"$13,705,176","$2,637,944","$5,479,738","$6,217,555","$19,240,160","$47,280,573","$9,376,091","$13,967,275","$15,711,252","$3,645,196","$17,453,159","$60,152,973",7,0.44,No
Ravens,"$7,381,327","$7,936,927","$7,986,810","$3,966,000","$16,354,916","$43,625,980","$17,275,372","$19,320,572","$4,593,000","$3,813,423","$10,949,281","$55,951,648",8,0.5,No
Saints,"$18,193,235","$9,159,749","$11,679,433","$3,245,951","$18,150,025","$60,428,393","$6,485,380","$14,326,594","$11,034,166","$9,960,582","$11,598,369","$53,405,091",11,0.69,Yes
Seahawks,"$1,557,085","$10,799,653","$16,831,423","$12,778,788","$27,955,261","$69,922,210","$7,701,509","$25,013,832","$7,377,232","$8,579,619","$3,507,877","$52,180,069",13,0.81,Yes
Steelers,"$15,393,138","$2,549,641","$8,799,844","$9,207,474","$10,836,255","$46,786,352","$12,586,770","$12,823,812","$9,155,304","$16,480,395","$11,069,889","$62,116,170",8,0.5,No
Texans,"$11,756,250","$10,825,134","$14,247,672","$6,948,519","$18,690,874","$62,468,449","$15,386,734","$3,770,636","$7,593,313","$7,816,547","$16,655,776","$51,223,006",2,0.13,No
Titans,"$6,336,958","$15,376,098","$12,686,896","$6,979,500","$26,721,984","$68,101,436","$6,496,528","$8,776,293","$5,740,835","$10,777,066","$9,602,477","$41,393,199",7,0.44,No
Vikings,"$8,470,554","$15,752,460","$10,378,281","$4,582,245","$20,329,032","$59,512,572","$11,556,066","$24,552,100","$13,577,945","$5,691,438","$4,206,849","$59,584,398",5,0.31,No
